activity_id,deal_id,account_id,contact_id,activity_type,activity_at,channel,subject,sentiment,next_step,transcript_text
ACT001,D001,A001,C001,Meeting,2026-08-28 10:00,Video,Commercial negotiation,Positive,Send revised enterprise pricing,"Anna said the solution fits their operational goals, but asked for a stronger volume discount if they expand to three factories."
ACT002,D001,A001,C002,Email,2026-09-02 14:22,Email,Security questionnaire,Neutral,Complete security review,"Markus requested documentation on SSO, audit logs, data residency, and penetration testing."
ACT003,D001,A001,C001,Call,2026-09-10 16:00,Phone,Decision timeline,Positive,Schedule procurement call,Anna expects a decision this month. Procurement is the remaining blocker and wants a three-year price comparison.
ACT004,D002,A002,C003,Call,2026-08-07 11:30,Phone,Discovery call,Positive,Run analytics demo,Eva wants better visibility into pipeline conversion and rep performance before committing to a broader rollout.
ACT005,D002,A002,C004,Meeting,2026-08-21 15:00,Video,Analytics demo,Positive,Define pilot success metrics,Tom liked the dashboard but asked whether the CRM connector can support their custom opportunity fields.
ACT006,D002,A002,C003,Email,2026-09-08 09:10,Email,Pilot scope,Neutral,Confirm pilot users,Eva said they can start with 25 users if the pilot proves a measurable increase in forecast accuracy.
ACT007,D003,A003,C005,Meeting,2026-05-14 13:00,In Person,Executive workshop,Positive,Prepare enterprise proposal,Lars wants a unified data layer across business units and emphasized faster access to operational insights.
ACT008,D003,A003,C006,Call,2026-06-04 10:30,Video,Technical validation,Positive,Finalize architecture,Mette confirmed the proposed integration pattern works with their existing data platform and security requirements.
ACT009,D003,A003,C005,Email,2026-07-20 17:04,Email,Contract signed,Positive,Kick off implementation,Lars confirmed the agreement was signed and asked to start implementation planning immediately.
ACT010,D004,A004,C007,Meeting,2026-04-03 12:00,Video,Business case review,Neutral,Provide ROI model,Camille liked the capabilities but said the project needs a stronger ROI case to compete with other internal investments.
ACT011,D004,A004,C008,Email,2026-05-18 08:42,Email,Budget update,Negative,Wait for budget confirmation,Hugo said the analytics budget is under review and no new purchase can be approved until the next finance cycle.
ACT012,D004,A004,C007,Call,2026-06-25 15:30,Phone,Deal status,Negative,Close as lost,Camille confirmed the budget was frozen for the year and asked us to reconnect next planning cycle.
ACT013,D005,A005,C009,Meeting,2026-07-02 09:30,Video,Procurement discovery,Neutral,Send compliance package,"Sofia asked for detailed pricing, implementation milestones, and healthcare compliance documentation."
ACT014,D005,A005,C010,Workshop,2026-07-18 14:00,Video,Data architecture workshop,Positive,Create technical proposal,Noah wants to consolidate fragmented analytics pipelines and reduce manual data preparation.
ACT015,D005,A005,C009,Email,2026-09-05 11:18,Email,Proposal feedback,Neutral,Revise payment schedule,"Sofia said the proposal is competitive, but requested quarterly payments instead of annual prepayment."
ACT016,D006,A006,C011,Call,2026-08-22 10:00,Phone,Initial qualification,Neutral,Identify process owner,Louise is interested in automation but has not yet identified which operational process should be addressed first.
ACT017,D006,A006,C012,Email,2026-09-01 13:40,Email,Use case ideas,Positive,Schedule workflow workshop,Arthur suggested starting with shipment exception handling because the team currently manages it manually.
ACT018,D007,A007,C013,Meeting,2026-07-07 16:00,In Person,Risk analytics review,Positive,Address model governance,James sees strong value but requires clear explainability and model governance before approval.
ACT019,D007,A007,C014,Workshop,2026-07-29 10:00,Video,Data integration workshop,Positive,Deliver governance documentation,"Priya confirmed data availability and requested documentation for lineage, model monitoring, and access controls."
ACT020,D007,A007,C013,Call,2026-09-11 14:00,Phone,Commercial negotiation,Neutral,Prepare two-year and three-year options,"James said pricing is within range, but a multi-year commitment needs a better commercial incentive."
ACT021,D008,A008,C015,Call,2026-07-10 09:00,Phone,Discovery,Positive,Send starter package quote,Erik wants a small deployment first and prefers minimal implementation effort.
ACT022,D008,A008,C016,Email,2026-08-04 12:15,Email,Pricing question,Neutral,Clarify implementation fee,Sara asked whether implementation can be included in the subscription price.
ACT023,D008,A008,C015,Call,2026-09-09 09:30,Phone,Final review,Positive,Send final order form,Erik said they are ready to proceed if deployment can start before the end of October.
ACT024,D009,A001,C001,Meeting,2026-08-19 11:00,Video,Predictive maintenance cross-sell,Positive,Quantify savings,Anna is interested if the add-on can show measurable reduction in machine downtime.
ACT025,D009,A001,C002,Email,2026-09-06 10:05,Email,Data requirements,Neutral,Validate sensor integration,Markus asked which machine telemetry signals are required and whether historical sensor data can be imported.
ACT026,D010,A003,C005,Meeting,2026-08-14 13:30,Video,AI optimization expansion,Positive,Build expansion business case,Lars wants to extend the platform with AI optimization if we can show impact on energy output and operating cost.
ACT027,D010,A003,C006,Workshop,2026-09-03 10:00,Video,AI technical validation,Positive,Run proof of value,Mette proposed using one wind farm as a proof of value before expanding across the fleet.
ACT028,D011,A005,C010,Meeting,2026-03-05 15:00,Video,Pilot results,Positive,Prepare purchase order,Noah reported that the pilot reduced weekly manual reporting effort from two days to a few hours.
ACT029,D011,A005,C009,Call,2026-04-21 10:00,Phone,Commercial approval,Positive,Send final contract,Sofia said procurement can approve the purchase if the implementation fee remains fixed.
ACT030,D012,A006,C012,Meeting,2026-04-02 14:00,Video,Platform proposal,Neutral,Find executive sponsor,Arthur liked the platform but said the project currently has no executive owner and may struggle to get budget.
ACT031,D012,A006,C011,Call,2026-05-22 09:30,Phone,Executive review,Negative,Close if no sponsor,Louise said other transformation programs have priority and she cannot sponsor the initiative this year.
