deal_id,account_id,deal_name,deal_stage,deal_value_eur,product,lead_source,owner_id,created_at,expected_close_date,win_probability,status,loss_reason
D001,A001,Acme Enterprise Expansion,Negotiation,120000,Enterprise Platform,Conference,S017,2026-05-10,2026-09-30,0.75,Open,
D002,A002,TechNova Analytics Pilot,Discovery,45000,Analytics Module,Website,S022,2026-08-01,2026-11-15,0.3,Open,
D003,A003,GreenEnergy Platform Rollout,Closed Won,210000,Enterprise Platform,Referral,S017,2026-02-15,2026-07-20,1.0,Won,
D004,A004,RetailPro Analytics Upgrade,Closed Lost,80000,Analytics Module,Outbound,S031,2026-03-11,2026-06-30,0.0,Lost,Budget frozen
D005,A005,MedAxis Data Foundation,Proposal,95000,Data Platform,Partner,S022,2026-06-07,2026-10-31,0.55,Open,
D006,A006,LogiCore Automation Suite,Qualification,60000,Automation Suite,Outbound,S031,2026-08-20,2026-12-15,0.2,Open,
D007,A007,FinPeak Risk Analytics,Negotiation,175000,Analytics Module,Executive Event,S017,2026-04-29,2026-10-15,0.68,Open,
D008,A008,BuildSphere Starter Package,Proposal,28000,Starter Package,Website,S044,2026-07-05,2026-09-25,0.62,Open,
D009,A001,Acme Predictive Maintenance Add-on,Discovery,55000,AI Add-on,Cross-sell,S017,2026-08-12,2026-12-20,0.35,Open,
D010,A003,GreenEnergy AI Optimization Add-on,Negotiation,90000,AI Add-on,Cross-sell,S017,2026-08-03,2026-10-30,0.72,Open,
D011,A005,MedAxis Analytics Pilot,Closed Won,40000,Analytics Module,Webinar,S022,2026-01-20,2026-05-12,1.0,Won,
D012,A006,LogiCore Data Platform,Closed Lost,70000,Data Platform,Outbound,S031,2026-02-09,2026-05-28,0.0,Lost,No executive sponsor
